序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,股票简称,首板 2026.04.30,概念,连续涨停天数(天) 2026.04.30,涨停次数(次) 2026.04.28 - 2026.04.30,成交额(元) 2026.04.30,量比 2026.04.30,主力净额(元) 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,流通市值(元) 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,成交量(股) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,CHOICE_INNER_CODE,CHG<70>{2026-04-30},IN_OPTIONAL
1,300083,创世纪,SZ,10.19,20.02,涨停,创世纪,首板,粤港澳大湾区、5G概念、工业母机、昨日高振幅、新能源车、工业互联、新型工业化、小米概念、加工设备、华为概念、最近多板、通信技术、东方财富热股、昨日高换手、智能穿戴、创投、消费电子概念、百日新高 、国产操作系统、人工智能、富时罗素、无线充电、机器人概念、军工、飞行汽车(eVTOL)、低空经济、医疗器械概念、融资融券、液冷概念、深股通、近期新高、昨日首板、无人机、苹果概念、小盘股、汽车一体化压铸、人形机器人、比亚迪概念、创业板综、高端装备,1,1,40.40亿,6.91,9.97亿,21.31,152.09亿,09:55:42,517.55万,50.79万,机械设备-自动化设备-工控设备,1.700,10.19,9.17,26.82,4.00亿,58.78,3.1946,169.65亿,1000008278,20.02,False
2,688400,凌云光,SH,59.32,20.01,涨停,凌云光,首板,国产芯片、专精特新、数字经济、昨日高振幅、OCS交换机、元宇宙概念、光通信模块、新型工业化、宁德时代概念、华为概念、小米概念、最近多板、通信技术、消费电子概念、百日新高 、CPO概念、人工智能、混合现实、富士康概念、2025年报预增、机器人概念、Sora概念、空间计算、融资融券、智谱AI概念、近期新高、昨日首板、虚拟现实、无人机、AIGC概念、沪股通、华为手机、苹果概念、数据中心、小盘股、光伏概念、机器视觉、Web3.0、人形机器人、历史新高 、虚拟数字人、锂电池概念、光纤概念、小盘成长、智谱AI,1,1,21.98亿,2.40,2.83亿,25.94,273.45亿,13:11:32,8424.60万,142.02万,机械设备-专用设备-其他专用设备,9.890,59.32,50.40,8.71,4016.28万,35.58,4.9818,284.28亿,1002510656,20.01,False
3,688155,先惠技术,SH,103.57,20.00,涨停,先惠技术,首板,专精特新、融资融券、车联网(车路云)、近期新高、昨日首板、新能源车、沪股通、宁德时代概念、新型工业化、最近多板、电池技术、固态电池、一带一路、锂电池概念、百日新高 、DeepSeek概念、人工智能、高端装备、中欧经济一体化、2025年报预增、电池设备、机器人概念、大数据、数据要素,1,1,7.19亿,1.85,5259.08万,19.79,130.95亿,09:36:52,5993.72万,57.87万,电力设备-电池-锂电池,17.260,103.57,96.81,5.58,705.72万,21.32,5.3336,130.95亿,1002101996,20.00,False
4,688256,寒武纪,SH,1699.96,20.00,涨停,寒武纪,首板,国产芯片、东数西算、昨日高振幅、上证180_、AI芯片、最近多板、东方财富热股、HS300_、大盘成长、百日新高 、边缘计算、人工智能、中国AI 50、国产操作系统、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、近期新高、昨日首板、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、历史新高 、阿里系算力、汽车芯片,1,1,284.66亿,2.04,3.19亿,28.49,7168.48亿,13:44:38,7.54亿,44.35万,电子-半导体-数字芯片设计,283.330,1699.96,1475.00,4.24,1788.43万,176.87,58.5716,7168.48亿,1002195026,20.00,False
5,688521,芯原股份,SH,280.88,20.00,涨停,芯原股份,首板,国产芯片、东数西算、国家大基金持股、GPU、AI芯片、最近多板、东方财富热股、大盘成长、腾讯概念、人工智能、无人驾驶、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、昨日首板、虚拟现实、上证380、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,1,1,111.24亿,1.74,12.29亿,19.27,1477.19亿,11:09:04,3.47亿,123.70万,电子-半导体-数字芯片设计,46.810,280.88,260.00,7.78,4090.52万,-108.35,46.9396,1477.19亿,1001855441,20.00,False
6,688699,明微电子,SH,55.43,20.00,涨停,明微电子,首板,东方财富热股、国产芯片、LED概念、专精特新、融资融券、昨日首板、半导体概念、深圳特区、先进封装、MiniLED、最近多板,1,1,3.15亿,2.12,2509.72万,23.18,61.01亿,09:37:38,5694.81万,102.74万,电子-半导体-模拟芯片设计,9.240,55.43,50.93,5.29,582.76万,64.41,5.0238,61.01亿,1001023022,20.00,False
7,300885,海昌新材,SZ,28.64,19.98,涨停,海昌新材,首板,中越经济一体化、专精特新、融资融券、低空经济、昨日高振幅、充电桩、深股通、近期新高、昨日首板、贬值受益、新能源车、商业航天、最近多板、东方财富热股、消费电子概念、新材料、卫星导航、人形机器人、一带一路、海峡两岸、创业板综、减速器、机器人概念、卫星互联网,1,1,7.51亿,4.29,1.67亿,18.25,47.83亿,10:35:54,9503.70万,331.83万,机械设备-通用设备-金属制品,4.770,28.64,24.33,16.71,2790.98万,73.77,7.7692,71.07亿,1001861280,19.98,False
8,000790,华神科技,SZ,4.57,10.12,涨停,华神科技,首板,微盘股、专精特新、合成生物、西部大开发、昨日高振幅、海南自贸、病毒防治、最近多板、东方财富热股、成渝特区、医药电商、中药概念、眼科医疗、创新药、融资融券、医疗器械概念、近期新高、装配建筑、医美概念、昨日首板、新消费、养老概念、氟化工概念、电解液添加剂、流感、单抗概念、锂电池概念、病原体防治,1,1,2.10亿,2.79,2251.50万,18.70,28.45亿,09:49:33,6405.19万,1401.57万,医药生物-中药Ⅱ-中药Ⅲ,0.420,4.57,4.25,7.49,4662.94万,294.80,3.9685,28.50亿,1000000514,10.12,False
9,600322,津投城开,SH,2.73,10.08,涨停,津投城开,首板,京津冀、融资融券、天津自贸区、京津冀一体化、昨日高振幅、央国企改革、百日新高 、近期新高、昨日首板、滨海新区、低价股、最近多板,1,1,1.85亿,3.92,4611.03万,15.68,30.19亿,09:38:50,781.65万,286.32万,房地产-房地产开发-住宅开发,0.250,2.73,2.54,6.18,6831.07万,6601.39,39.6846,30.19亿,1000001958,10.08,False
10,603717,天域生物,SH,7.54,10.07,涨停,天域生物,首板,钠离子电池、微盘股、雄安新区、PPP模式、西部大开发、乡村振兴、昨日高振幅、昨日首板、破发股、绿色电力、新能源、最近多板、特色小镇、光伏概念、电池技术、氟化工概念、生态农业、锂电池概念、猪肉概念,1,1,1.38亿,2.43,2267.57万,12.71,21.88亿,13:19:27,9339.27万,1238.63万,建筑装饰-基础建设-园林工程,0.690,7.54,6.89,6.54,1896.88万,-52.00,5.7201,21.88亿,1000501657,10.07,False
