序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,东财行业分类二级,涨停 2026.04.30,成交额(元) 2026.04.30,量比 2026.04.30,主力净额(元) 2026.04.30,区间涨跌幅(%) 2026.04.24 - 2026.04.30,东财行业总分类,申万行业分类,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,成交量(股) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,CHG<70>{2026-04-30},IN_OPTIONAL
1,300083,创世纪,SZ,10.19,20.02,粤港澳大湾区、5G概念、工业母机、昨日高振幅、新能源车、工业互联、新型工业化、小米概念、加工设备、华为概念、最近多板、通信技术、东方财富热股、昨日高换手、智能穿戴、创投、消费电子概念、百日新高 、国产操作系统、人工智能、富时罗素、无线充电、机器人概念、军工、飞行汽车(eVTOL)、低空经济、医疗器械概念、融资融券、液冷概念、深股通、近期新高、昨日首板、无人机、苹果概念、小盘股、汽车一体化压铸、人形机器人、比亚迪概念、创业板综、高端装备,自动化设备,涨停,40.40亿,6.91,9.97亿,21.31,机械设备-自动化设备-工控设备,机械设备-自动化设备-工控设备,09:55:42,517.55万,50.79万,首板,1.700,10.19,9.17,26.82,4.00亿,58.78,3.1946,169.65亿,152.09亿,1000008278,20.02,False
2,000783,长江证券,SZ,7.99,10.06,中盘股、融资融券、PPP模式、参股期货、深股通、昨日首板、中盘成长、中证500、参股新三板、券商概念、标准普尔、深成500、最近多板、东方财富热股、互联网金融、富时罗素、2025年报预增、MSCI中国、破增发价股,证券Ⅱ,涨停,23.55亿,6.20,6.24亿,10.97,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,09:37:39,8542.92万,1069.20万,首板,0.730,7.99,7.80,5.36,2.96亿,7.43,1.1996,441.85亿,441.85亿,1000000416,10.06,False
3,002240,盛新锂能,SZ,60.09,9.99,融资融券、西部大开发、昨日高振幅、深股通、近期新高、昨日首板、深圳特区、深成500、宁德时代概念、反内卷概念、小盘价值、最近多板、东方财富热股、小盘股、电池技术、固态电池、锂电池概念、比亚迪概念、盐湖提锂、百日新高 、小金属概念、股权激励、富时罗素、锂矿概念,能源金属,涨停,52.39亿,1.54,5.71亿,29.78,有色金属-能源金属-锂,有色金属-能源金属-锂,09:55:12,1.56亿,260.37万,首板,5.460,60.09,55.26,9.74,8893.61万,29.63,5.1242,550.00亿,548.57亿,1000007629,9.99,False
4,002842,翔鹭钨业,SZ,38.49,10.00,东方财富热股、昨日高换手、金属铜、光伏概念、金属钨、2025年报扭亏、小金属概念、最近多板,小金属,涨停,33.58亿,2.16,5.57亿,19.13,有色金属-小金属-钨,有色金属-小金属-钨,09:32:51,5488.75万,142.60万,-,3.500,38.49,36.51,32.76,8796.13万,12.57,8.6263,125.93亿,103.33亿,1000326764,10.00,False
5,002192,融捷股份,SZ,109.22,10.00,粤港澳大湾区、稀缺资源、融资融券、昨日高振幅、深股通、近期新高、标准普尔、反内卷概念、最近多板、东方财富热股、小盘股、电池技术、储能概念、锂电池概念、比亚迪概念、百日新高 、锂矿概念,能源金属,涨停,36.46亿,1.01,3.87亿,39.24,有色金属-能源金属-锂,有色金属-能源金属-锂,09:37:48,6850.08万,62.72万,-,9.930,109.22,102.10,13.06,3384.96万,25.51,7.3186,283.60亿,283.01亿,1000007454,10.00,False
6,603698,航天工程,SH,43.97,10.01,军工、融资融券、昨日高振幅、昨日首板、沪股通、节能环保、碳交易、军民融合、最近多板、东方财富热股、小盘股、氢能源、核能核电、工业气体、煤化工概念、央国企改革、高端装备、碳中和,专用设备,涨停,20.76亿,1.35,3.86亿,2.02,机械设备-专用设备-能源及重型设备,机械设备-专用设备-能源及重型设备,09:54:09,6625.40万,150.68万,首板,4.000,43.97,40.24,9.05,4851.85万,143.83,6.6957,235.67亿,235.67亿,1000305470,10.01,False
7,603119,浙江荣泰,SH,82.51,10.00,专精特新、中盘股、融资融券、共同富裕示范区、昨日高振幅、昨日首板、贬值受益、新能源车、中盘成长、沪股通、宁德时代概念、最近多板、东方财富热股、人形机器人、一带一路、无人驾驶、汽车热管理、MSCI中国、减速器、长江三角、机器人概念、特斯拉概念,汽车零部件,涨停,18.55亿,1.86,3.76亿,6.09,汽车-汽车零部件-其他汽车零部件,汽车-汽车零部件-其他汽车零部件,10:01:31,6153.84万,74.58万,首板,7.500,82.51,76.20,11.23,2290.53万,104.51,14.2302,300.12亿,168.22亿,1003103841,10.00,False
8,600246,万通发展,SH,11.28,10.05,国产芯片、5G概念、低空经济、融资融券、昨日高振幅、数字经济、沪股通、商业航天、存储芯片、最近多板、通信技术、东方财富热股、创投、小盘股、京津冀、卫星导航、京津冀一体化、毫米波概念、卫星互联网,房地产开发,涨停,18.12亿,1.70,3.35亿,12.46,房地产-房地产开发-住宅开发,房地产-房地产开发-住宅开发,10:17:50,5838.64万,517.61万,首板,1.030,11.28,10.31,8.67,1.64亿,-48.80,4.7979,219.17亿,213.24亿,1000001812,10.05,False
9,688256,寒武纪,SH,1699.96,20.00,国产芯片、东数西算、昨日高振幅、上证180_、AI芯片、最近多板、东方财富热股、HS300_、大盘成长、百日新高 、边缘计算、人工智能、中国AI 50、国产操作系统、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、近期新高、昨日首板、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、历史新高 、阿里系算力、汽车芯片,半导体,涨停,284.66亿,2.04,3.19亿,28.49,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,13:44:38,7.54亿,44.35万,首板,283.330,1699.96,1475.00,4.24,1788.43万,176.87,58.5716,7168.48亿,7168.48亿,1002195026,20.00,False
10,688400,凌云光,SH,59.32,20.01,国产芯片、专精特新、数字经济、昨日高振幅、OCS交换机、元宇宙概念、光通信模块、新型工业化、宁德时代概念、华为概念、小米概念、最近多板、通信技术、消费电子概念、百日新高 、CPO概念、人工智能、混合现实、富士康概念、2025年报预增、机器人概念、Sora概念、空间计算、融资融券、智谱AI概念、近期新高、昨日首板、虚拟现实、无人机、AIGC概念、沪股通、华为手机、苹果概念、数据中心、小盘股、光伏概念、机器视觉、Web3.0、人形机器人、历史新高 、虚拟数字人、锂电池概念、光纤概念、小盘成长、智谱AI,专用设备,涨停,21.98亿,2.40,2.83亿,25.94,机械设备-专用设备-其他专用设备,机械设备-专用设备-其他专用设备,13:11:32,8424.60万,142.02万,首板,9.890,59.32,50.40,8.71,4016.28万,35.58,4.9818,284.28亿,273.45亿,1002510656,20.01,False
11,002685,华东重机,SZ,9.15,9.98,国产芯片、专精特新、昨日高振幅、GPU、新型工业化、航运概念、TOPCON电池、最近多板、东方财富热股、信创、百日新高 、DeepSeek概念、富时罗素、军工、融资融券、深股通、近期新高、昨日首板、2025年报预减、半导体概念、氢能源、光伏概念、一带一路、高端装备、传感器、TOPCon电池,工程机械,涨停,12.21亿,2.22,2.59亿,15.38,机械设备-工程机械-工程机械整机,机械设备-工程机械-工程机械整机,14:15:03,5405.79万,590.80万,首板,0.830,9.15,8.29,13.76,1.39亿,42.58,5.5901,92.20亿,92.19亿,1000008960,9.98,False
12,002235,安妮股份,SZ,11.20,10.02,区块链、数字经济、昨日高振幅、最近多板、东方财富热股、昨日高换手、独角兽、蚂蚁概念、数据要素、彩票概念、福建自贸区、融资融券、昨日首板、体育产业、AI反诈、知识产权、网络安全、Web3.0、数据确权、造纸印刷、比亚迪概念、NFT概念、海峡两岸、文娱消费、大数据,造纸,涨停,11.71亿,2.57,2.45亿,17.77,轻工制造-造纸-特种纸,轻工制造-造纸-特种纸,09:45:42,9754.22万,870.91万,首板,1.020,11.20,10.21,19.15,1.06亿,-2223.46,8.8985,64.91亿,62.00亿,1000007655,10.02,False
