code,name,lbc,score,main_yi,mainline,strong,today_top,all_concepts
002081,金螳螂,8,148.4,2.21,新型城镇化/长三角一体化/第三代半导体/芯片概念/人工智能/数据中心,新型城镇化/装配式建筑/PPP概念/光伏建筑一体化/长三角一体化,新型城镇化/装配式建筑/PPP概念/第三代半导体/芯片概念/人工智能/数据中心/数字孪生,新型城镇化;装配式建筑;PPP概念;光伏建筑一体化;长三角一体化;一带一路;深股通;融资融券;第三代半导体;芯片概念;智能家居;人工智能;数据中心;数字孪生
000066,中国长城,1,99.0,13.24,数据中心/人工智能/芯片概念,数据中心/华为概念/人工智能/芯片概念/消费电子概念,东数西算(算力)/数据中心/人工智能/芯片概念/军工,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联
688256,寒武纪,1,88.0,30.2,芯片概念/数据中心/人工智能,芯片概念/数据中心/人工智能,芯片概念/数据中心/东数西算(算力)/人工智能,中国AI 50;先进封装;汽车芯片;芯片概念;同花顺新质50;数据中心;东数西算(算力);国产操作系统;阿里巴巴概念;人工智能;沪股通;融资融券
002989,中天精装,2,77.7,0.34,新型城镇化/芯片概念/人工智能,新型城镇化/芯片概念/粤港澳大湾区/人工智能,新型城镇化/芯片概念/人工智能,新型城镇化;芯片概念;粤港澳大湾区;人工智能;国企改革;深股通
688400,凌云光,1,77.0,2.01,芯片概念/数据中心/人工智能,消费电子概念/芯片概念/数据中心/华为概念/机器人概念,芯片概念/数据中心/人工智能,共封装光学(CPO);富士康概念;光纤概念;苹果概念;华为手机;消费电子概念;MR(混合现实);芯片概念;人形机器人;机器视觉;小米概念;数据中心;新型工业化;
002929,润建股份,1,70.8,1.9,数据中心/人工智能,数据中心/数字孪生/华为概念/人工智能/机器人概念,东数西算(算力)/数据中心/数字孪生/人工智能/军工,算力租赁;华为昇腾;云办公;东数西算(算力);数据安全;信创;多模态AI;数据中心;阿里巴巴概念;空间计算;百度概念;AI智能体;虚拟数字人;数字乡村;华为数字
002158,汉钟精机,1,70.1,0.54,第三代半导体/芯片概念/数据中心,第三代半导体/芯片概念/数据中心/氢能源,第三代半导体/芯片概念/数据中心,第三代半导体;芯片概念;专精特新;光伏概念;数据中心;燃料电池;空气能热泵;工业互联网;海峡两岸;氢能源;雄安新区;冷链物流;深股通;融资融券
688521,芯原股份,1,69.0,10.04,芯片概念/人工智能,芯片概念/人工智能,芯片概念/东数西算(算力)/人工智能,国家大基金持股;智能音箱;先进封装;汽车芯片;AI手机;MCU芯片;AI眼镜;芯片概念;虚拟现实;东数西算(算力);阿里巴巴概念;腾讯概念;无人驾驶;物联网;人
000628,高新发展,1,65.5,0.76,芯片概念/新型城镇化,芯片概念/数字孪生/2025年报预增/储能/新型城镇化,芯片概念/数字孪生/新型城镇化/PPP概念,智慧政务;汽车芯片;数据要素;芯片概念;智慧城市;物联网;数字孪生;2025年报预增;新能源汽车;创投;储能;虚拟电厂;新型城镇化;PPP概念;西部大开发;国企
603687,大胜达,1,60.7,1.86,人工智能/芯片概念,数字孪生/锂电池概念/人工智能/芯片概念,数字孪生/人工智能/芯片概念,钙钛矿电池;烟草;数字水印;光伏概念;AIGC概念;共同富裕示范区;数字孪生;DeepSeek概念;工业互联网;ChatGPT概念;锂电池概念;人工智能;物联网
